article,highlights
"(GameTap.com) -- Everyone wants to be more physically fit, but the toughest thing is finding motivation -- the motivation to get started, the motivation to keep going, the motivation to push yourself to the next level. A man tries out the Wii Fit at a Nintendo launch party in Central Park, New York City. Wii Fit doesn't try to motivate you with before and after photos. It doesn't try to motivate you with testimonials from fitness gurus. It doesn't even offer you three easy payments. But it does entice you to get into shape by making working out look like fun. And that it does very well. In fact, Wii Fit might be some of the most fun you can have by just more or less standing still, which must make it about as mass market friendly as any video game product ever was. Wii Fit requires a Wii, of course, and it comes bundled with a balance board. But the entire setup doesn't take up much space, and the board is no eyesore, either. Unlike a bathroom scale that's usually squirreled away in a closet or shoved into the corner of a bathroom, looking at it doesn't make you feel guilty. Designed to fit in with Japanese living rooms, where space is usually at a premium, the balance board is sleek and elegantly designed. iReport.com: Send us your Wii Fit review . It conveys cool Asian style with a streamlined appearance. It's something you wouldn't mind having in your living room at all. One thing about Nintendo: They know how to make hardware that's rugged but easy on the eyes. Getting started with Wii Fit is a snap, but you might have to get some bad news out of the way first. The balance board connects to the Wii through a Wi-Fi connection. You stand on it and use the Wii remote to record your height and age. The balance board then registers your weight. From those figures, Wii Fit calculates your body mass index (BMI), a standard metric many doctors use to determine a person's overall fitness, which you can track over time. Oddly, however, there's no easy way to just use the scale to see your weight without recalculating your BMI each time. The Wii Fit-ness program is organized into 48 activities divided among four general areas: yoga, aerobics, strength training, and balance games. You can choose to work through all four in one session or just concentrate on one. If you've never tried yoga before, working through the 15 positions here are as good an introduction as any. All of them are done with at least one foot on the balance board, so Wii Fit can measure how centered you keep your body. Yoga is a great way to stretch muscles and joints out and to work on overall flexibility. As meditative as this physical activity would seem, you'll feel the burn even before you reach any of the advanced forms. Once you're loosened up a little with yoga, you might move on to aerobics. The majority of these nine activities are basically variations of hula hooping, jogging in place, and simple step aerobics. The one exception is rhythm boxing, which you unlock later on. By turning these aerobic challenges all into minigames, Wii Fit entices you to keep working on them to earn better scores and ratings. With the hula hoop, for example, you have to stand on the board and grind your hips to keep a virtual hoop twirling. Later, you have to ""catch"" tossed hoops, and then keep them all twirling, too. Wii Fit sets a mellow, steady pace for all its aerobic challenges, but it still manages to make your heart pump. If just the words ""push"" and ""ups"" makes you break out in a sweat, then you've probably already surmised that strength training contains some of the most physically demanding Wii Fit workouts. The torso twist and rowing squat are easy, but push-ups, planks, and even the lunges will show you what you're made of. The push-ups in particular make you work extra hard. You do push-ups with your two hands on the board, but because it's 17 ½ inches wide, people over six feet tall or with broad shoulders might find themselves with their hands positioned inside their shoulder width. While it's certainly a worthwhile goal to build up to, it's difficult to snap off a set of push-ups from that position. The balance games require you to just apply pressure to the board through your feet. Skiing slaloms and ski jumping are fairly straightforward, but you can also walk a tightrope or try to float down a river inside a giant bubble. All of these are simple and fun, and they really do make you aware of how well you maintain good posture and keep your balance. However, they are also short and very limited in the variety of levels and layouts. Could you do all these exercises and balance activities right now without Wii Fit? Sure you could. But would you? That's where the Wii Fit balance board comes in. Just like the Wii itself, it just looks like something you'd like to try out. But once you take that first step onto it, you might find yourself on the way to becoming more fit. READ about video games. WATCH video game news. PLAY complete, original console, arcade and PC games - FREE! Visit GameTap.com. Copyright: TM & © 2007 Turner Broadcasting System, Inc. A Time Warner Company, or its licensors. Patent pending. All Rights Reserved. GameTap is part of the TURNER YOUNG ADULT NETWORK.","Entire 'Wii Fit' setup doesn't take up much space, and the board is no eyesore . Wii Fit calculates your body mass index (BMI), a metric many doctors use . Program organized into 48 activities divided among four general areas . People over 6 feet tall or with broad shoulders may find some activities difficult ."
"Police imposed a curfew in Jaipur on Wednesday, a day after near-simultaneous bomb attacks in the ancient Indian city killed at least 63 people and wounded more than 200. Indian women mourn the death of their relatives in the May 13 serial blasts in Jaipur. Vasundhara Raje, chief minister of Rajasthan -- the state of which Jaipur is the capital -- blamed an ""unnamed international terror group"" for the attack, but said it was too early in the investigation to specify which one. H. G. Ragavendhra, Jaipur's superintendent of police, told CNN that police found nine newly-purchased bicycles at the scene, and think they were used to carry the explosives. The owner of the bike shop is helping police draw a sketch of the person who purchased them. Police have also picked up six suspects and were questioning them. Jaipur, known as the ""pink city"" for its rose-colored forts and palaces, is a popular tourist attraction. The majority Hindu city of 2.7 million people has a sizable Muslim population. The day-long curfew, authorities said, was meant to prevent ""communal violence."" It was intended to prevent large crowds from gathering at the blast site and hampering the investigation, said Jaipur police director Kanhaiya Lal. Also, tempers could flare as mourners spend the day carrying bodies to their home villages and to crematoriums, he said. Home ministry officials suspect the Islamic militant group Harkat-ul-Jihad al-Islami (HuJi) of being behind the attacks, according to CNN's sister network CNN-IBN and the Press Trust of India. No one has claimed responsibility. In the past, officials have blamed attacks within its borders on ""foreign"" Islamic extremist groups fighting against Indian rule in the disputed Himalayan territory of Kashmir. It is a term that is commonly understood to refer to Pakistan. Kashmir has been the source of bitter dispute and two wars between India and Pakistan. Both control parts of the region, which is predominantly Muslim. Pakistan has denied any involvement in the attacks. See the aftermath of the explosions. » . Raje told reporters Wednesday that the military had been placed on alert and security tightened around the borders of the state, the western edge of which lies next to Pakistan. She also took to task the central government, saying it had provided no advance warning about the possibility of such an attack. Furthermore, Raje said, the central government left a state-proposed organized crime bill unapproved for two years. The bill would have allowed local police more leeway to interrogate suspects plotting attacks, she said. On Tuesday evening, eight bombs tore through crowded markets and a packed Hindu temple in Jaipur's walled city. The blasts went off within a 12-minute span and within 500 meters (0.3 miles) of each other. Police defused a ninth bomb. The Jaipur blasts bear an eerie resemblance in its pattern to a deadly attack two years ago in India's financial capital, Mumbai. In July 2006, more than 200 people were killed when seven explosions targeted commuter trains in Mumbai, formerly Bombay. In that incident, the explosions went off within a span of 11 minutes. Both attacks used RDX, one of the most powerful kinds of military explosives, and ammonium nitrate, an oxidizing agent in explosives. And both attacks took place during the evening hours and on Tuesdays. The Jaipur blasts occurred near the temple on a day when devotees pray to Hanuman, the Hindu monkey king. Nearby markets and bazaars that were also targeted were filled with tourists and locals. In the Mumbai attack, the blasts were timed to go off during the height of rush hour. And authorities said the bombs all appeared to have been planted on trains that left the Churchgate station -- used daily by thousands of commuters in the metropolis of more than 11 million people. Indian officials blamed Pakistan's intelligence services and a Pakistan-based militant group, Lashkar-e-Tayyiba, for the attack. Pakistan, which banned Lashkar-e-Tayyiba in 2002, denied any involvement. The Jaipur blast has one more element in common with yet another deadly attack: the use of bicycles. Just as on Tuesday, assailants used bombs strapped to bicycles in an attack at a mosque in the western Indian city of Malegaon in September 2006. At least 33 people were killed and more than 100 wounded in that explosion, which took place on a Friday -- when the mosque is filled with Muslim worshippers. That attack was also blamed Lashkar-e-Tayyiba. Authorities have not connected the Jaipur blast to any previous attacks. HuJi -- or the Movement of Islamic Holy War -- is considered a terrorist organization by the United States. It is banned in neighboring Bangladesh, where it is accused of carrying out several attacks, including a foiled plot to kill the country's former Prime Minister Sheikh Hasina in 2000. And it has been blamed for several attacks inside India, including one at the American Center in Calcutta that killed five policemen in 2002. India ranks among the countries where terrorism is most common, the U. S. State Department said. ""The conflict in Jammu and Kashmir, attacks by extreme leftist Naxalites and Maoists in eastern and central India, assaults by ethno-linguistic nationalists in the northeastern states, and terrorist strikes nationwide by Islamic extremists took more than 2,300 lives this year,"" the agency said. CNN's Tess Eastment and Saeed Ahmed contributed to this report.","Police impose a curfew in Jaipur day after bomb attacks kill at least 63 people . Local Indian official blames ""unnamed international terror group"" for blasts . Bombs explode within 12 minutes of each other, 200 people also wounded . Police suspect bicycles may have been used to carry the bombs ."
"India is on high alert after a series of near-simultaneous explosions killed at least 60 people and wounded 150 others in a top tourist spot, government and local officials told CNN-IBN. An injured man rests at Swai Man Singh Hospital in Jaipur. Bicycles and rickshaws were strewn about the streets, with pools of blood nearby, in the northwestern city of Jaipur. Motorcycles, pieces of which were found at nearly every bomb site, appear to have been used in the attacks, said Rajasthan Home Minister Gulab Chand Kataria. There was no immediate claim of responsibility, but Indian government officials -- including Minister of State for Home Affairs Shriprakash Jaiswal -- were quick to label it a terrorist attack. The eight explosions started at about 7:30 p.m. (1400 GMT) and detonated within 12 minutes of each other, police said. The bombs exploded within about 500 meters (0.3 mile) of each other in Jaipur's old city, which is frequented by tourists. See the aftermath of the explosions. » . An ninth bomb was defused, according to H. G. Raghavendra, a Jaipur city official. He described all the bombs as ""medium intensity."" ""There is no reason to panic,"" he told CNN-IBN. ""Everything is under control."" One blast struck near Hanuman Temple, which was crowded with Hindus worshipping Hanuman, the religion's monkey god. Another struck near a market area inside Jaipur's walled city where tourists and locals frequent restaurants and shops. Jaipur, known as the ""pink city,"" is about 260 kilometers (160 miles) southwest of India's capital, New Delhi. Many of the casualties were taken to SMS Hospital, the largest government hospital in Jaipur. People gathered outside the hospital to hear news about friends and relatives; the hospital issued an urgent appeal for blood donations. The state of Rajasthan, where Jaipur is located, was placed on alert, local officials said. Delhi police officials said they too were on high alert after the blasts and were receiving regular updates from Jaipur on developments in the investigation. The Deputy Chief Minister for the state of Maharashtra, R. R. Patil, said the entire state was also on high alert. Mumbai is in the state of Maharashtra. The attack was immediately condemned by the United States. U. S. State Department spokesman Sean McCormack said the attacks were ""quite clearly an act intended to take innocent lives."" He told reporters at his daily briefing that Washington was still collecting information, and could not ""offer insight into who may be responsible."" According to the U. S. State Department, India ranks among the countries where terrorism is most common. ""The conflict in Jammu and Kashmir, attacks by extreme leftist Naxalites and Maoists in eastern and central India, assaults by ethno-linguistic nationalists in the northeastern states, and terrorist strikes nationwide by Islamic extremists took more than 2,300 lives this year,"" the agency said. It said India's counterterrorism efforts ""are hampered by outdated and overburdened law enforcement and legal systems,"" and described the country's court system as ""slow, laborious, and prone to corruption.""","Eight quickfire explosions kill at least 60 people in northwest Indian city . Bombs explode within 12 minutes of each other, 150 people also wounded . Explosions within a small radius in Jaipur's old city, popular with tourists . Motorcycles appear to have been used in the attacks, state minister says ."
"South Korea's new president has pledged to donate his salary to the underprivileged. South Korean leader Lee Myung-Bak says he would donate his salary to help the underprivileged. Lee Myung-Bak made the pledge during an unscheduled meeting with reporters Sunday in the press room of his presidential office, the state news agency reported. The president said he would donate his salary during his entire five-year term. Lee is a former CEO of an engineering and construction company with a vast personal fortune. As mayor of Seoul from 2002 to 2004, Lee donated his salary to the children of street cleaners and firefighters. ""I promised to spend my whole salary earned as a public official on public welfare,"" Lee told reporters. ""My plan to donate the presidential salary to the underprivileged is an extension of that promise."" The news agency did not say how much the president earns in a year. During the election campaign, Lee, 66, vowed to donate his entire personal fortune of more than 30 billion won ($30.2 million) to the poor. He said at the time he would keep only a retirement house in Seoul. E-mail to a friend .","South Korean leader Lee Myung-Bak says he will donate his salary to help the poor . While mayor of Seoul, he donated salary to children of street cleaners and firefighters . Lee is a former CEO of an engineering and construction company ."
"Forbes' list of the world's wealthy has named Warren Buffett the richest person on the planet, surpassing his friend and philanthropic partner Bill Gates who had held the title for 13 consecutive years. American investor Warren Buffett has been named world's richest person. The American investor and philanthropist is worth an estimated $62 billion, up $10 billion from a year ago thanks to surging prices of Berkshire Hathaway stock, according to Forbes magazine's annual ranking of the world's billionaires. Gates, the co-founder of Microsoft, is now ranked as the world's third richest person. At $58 billion, his net worth is up $2 billion from a year ago. Mexican telecom tycoon Carlos Slim Helu was named the world's second richest man, with a net worth of around $60 billion, up $11 billion since last March. For the first time, Forbes' rich list named more than 1,000 billionaires from around the world, with 226 newcomers. The total net worth of the group is $4.4 trillion, up $900 billion from 2007. Watch who's up and who's down » . This year's survey finds an increasing number of the world's richest coming from emerging markets, including China, India and Russia. Two years ago, 10 of the top 20 billionaires were from the United States. This year, there are only four. India is now home to four of the 10 richest people in the world, the highest number for a single country. But the United States still holds the top spot as the country with the most billionaires -- Americans account for 42 percent of the world's billionaires and 37 percent of the total wealth, according to Forbes. With 87 billionaires, Russia is now in second place, overtaking Germany, with 59 billionaires, which had held that position for six years. It is also a record-breaking year for young billionaires, with Forbes listing 50 billionaires under the age of 40. Check out the youngest billionaires » . Over half of them are self-starters, including Google co-founders Sergey Brin and Larry Page, and India's Sameer Gehlaut, who started online brokerage Indiabulls. Facebook founder Mark Zuckerberg, age 23, was called ""quite possibly the world's youngest self-made billionaire ever."" E-mail to a friend .","Forbes crowns American investor Warren Buffett as world's richest person . After 13 years on top, Microsoft's Bill Gates drops to number three position . Russia replaces Germany as No. 2 country with 87 billionaires . Facebook founder Mark Zuckerberg may be youngest self-made billionaire in history ."
"It's midnight on the streets of Atlanta, and bar owner Rufus Terrill patrols his neighborhood with a rolling crime fighter of his own creation. Meet ""Bum-bot,"" as Terrill describes it; others in his neighborhood call it simply, ""Robocop."" This former BBQ smoker is armed with a water gun to chase off bums and drug dealers in downtown Atlanta. It's a barbecue smoker mounted on a three-wheeled scooter, and armed with an infrared camera, spotlight, loudspeaker and aluminum water cannon that shoots a stream of icy water about 20 feet. Operated by remote control, the robot spotlights trespassers on property down the street from his bar, O'Terrill's. Using a walkie-talkie, Terrill belts out through the robot's loudspeaker, ""That's private property. You guys need to get out of here."" Terrill is chasing out unsavory-looking characters from a street corner that resembles a drug dealer's dream at night. More than 20 suspicious people were seen huddling in the dark in the front driveway and side parking lot on this night. Some were seen openly making drug deals. Watch ""Bum-bot"" in action » . But during the day, it's where young children frolic on a nearby playground at a the Beacon of Light Daycare Center in downtown Atlanta. It has become a nightmare for day care operator Lydia Meredith. ""This whole square is enveloped with homeless people and drug dealers, defecating, urinating, prostituting -- the whole nine yards. And the overflow of that behavior, we get to cleanup every morning,"" she says. Meredith says people often toss used syringes and condoms onto the playground. Terrill, an engineer by trade, is also a board member at the day care center. Tired of cleaning up after the shady characters, he decided to take action. That's when he built his downtown Darth Vader of sorts. ""He's a neighborhood vigilante,"" says Meredith, ""and when he came up with this -- you know, I call it Robocop -- I said, 'Praise God.' "" The daycare center is a block from a homeless shelter. Meredith has a security guard at the center who leaves in the early evening. ""They know when the guard leaves,"" she says. ""They know when the cleaning crew leaves and then here comes the drug dealers to prey on the homeless people."" Anita Beatty, the director of the shelter, is suspicious of the barbecue-smoker robot. ""I just think the whole 'Robocop' spraying people is a little freaky. We really need some police protection in this neighborhood. I think it's confusing the issue. I think the issue is homeless people. They are being confused with the folks who prey on them and sell them drugs,"" she says. Atlanta police patrol the area, but say it's difficult to stay on top of the large number of people who roam the streets in the area late at night. Police Major Lane Hagin says the robot is definitely a different crime-fighting idea. ""There's no problem with the robot going up and down the street or being visible or any of the other things it does -- with the exception of spraying water on people."" Hagin adds, ""Then, it becomes an assault no matter where it happens."" So far no one has filed charges against Terrill or the robot. But one homeless man who declined to give his name followed Terrill and his robot down the street and laughingly told him, ""I know about you. I can sue you for assault."" Terrill says he's not hurting anyone and often sprays the water to the side of loiterers as a ploy to get them to move on. He's also not about to back down. ""If you're throwing condoms out on the side of the playground, if you're throwing needles, you're throwing crack pipes out there, I'm not going to let those kids be out there like that. I'm going to stop you."" Terrill bought his bar four years ago knowing nothing about the restaurant business. He ran unsuccessfully for lieutenant governor of Georgia in 2006. He's had ongoing problems with people breaking into his bar and stealing things, but it was the day care center problems that spurred him on to create the robot. Some of Terrill's bar patrons say they've seen a difference in the neighborhood. Susanne Coe lives nearby. ""I've seen a marked change simply with this robot that doesn't have any power of arrest. It does scare people and to be honest with you I'm grateful for it,"" she says. On this night, as Terrill and his robot make their way to the street corner, he shines the robot's spotlight on the parking lot of the daycare center. One by one, the shadowy figures stand up, walk away and saunter down the street. ""Ninety-nine percent of the time, when I go up there and once I turn the spotlight on and I talk to them through the speaker, they leave,"" he says. E-mail to a friend .","Atlanta bar owner converts BBQ smoker into robot to chase off drug dealers, others . ""Bum-bot"" is armed with a water gun and loudspeaker . Cops frown upon spraying water at bystanders, say it could be assault ."
"A video showing the last moments of a Polish immigrant, who died after Canadian police shot him with a stun gun at Vancouver International Airport, has been made public. This image from video shows an agitated Robert Dziekanski, left, before police used a stun gun on him. Robert Dziekanski, 40, was traveling to join his mother, who lives in British Columbia, when he ended up spending about 10 hours in the airport's arrivals area, The Canadian Press said. The video shows Dziekanski, who had never flown before, becoming agitated. It then shows Mounties purportedly shocking Robert Dziekanski with a Taser device after confronting him. Dziekanski did not speak English. The recording was captured by bystander Paul Pritchard on October 14 and was in police hands until he threatened legal action and it was returned to him last week, The Canadian Press reported. Watch as police stun man with Taser » . ""Probably the most disturbing part is one of the officers uses his leg and his knee to pin his neck and his head to the ground,"" Pritchard told CBC News. The dead man's mother, Zofia Cisowski, told CBC News that Tasers should not be used by police. ""They should do something because that is a killer, a people killer."" The incident is being investigated by police, Canada's national police complaints commission and by the coroner, CBC News reported. E-mail to a friend .","Man died after Canadian police shot him at Vancouver Airport on October 14 . Polish immigrant became agitated after being left waiting at airport for 10 hours . Flight was first time he had been on a plane; he spoke no English . Incident, captured on video by a bystander, is being investigated by authorities ."
"Before Monday, Eliot Spitzer was a rising star in the Democratic Party -- his squeaky-clean image as a corruption buster led to his being mentioned as a potential vice-presidential candidate and possibly even a future White House contender. New York Gov. Eliot Spitzer arrives with his wife Monday for a press conference. Now, after federal investigators have linked the New York governor to a top-dollar prostitution ring, political advisers are split over whether Spitzer has any political future at all. ""There's no way he can survive it,"" said Ed Rollins, a Republican political consultant and adviser to former presidential candidate Mike Huckabee. ""All the facts aren't out there, but as they're being reported, there's no way you can survive. ""Not only is he a hypocrite, he may also end up being a charged felon."" On Monday, Spitzer publicly apologized for an undisclosed personal matter. He did not specifically mention the prostitution sting, nor did he resign. Watch Spitzer's apology » . The apology came four days after federal prosecutors announced the arrests of four people in an international prostitution ring that charged clients up to $5,500 an hour. A source with knowledge of the probe said that wiretaps in the case identify Spitzer as an unnamed client who met a prostitute on February 13 at a Washington hotel. Many political professionals said they were stunned by Monday's developments regarding Spitzer, a man who once made a name for himself going after organized crime and Wall Street corruption as New York's attorney general. ""Obviously, the facts are going to come out in the next several days and the story will be told,"" said Robert Zimmerman, a political adviser and Democratic National Committee member. ""But if the facts are as we suspect, it's very hard to imagine him staying in office."" But James Carville, a CNN political analyst and onetime adviser to former President Bill Clinton, said Spitzer could hold on to his position if the scandal remains strictly about sex -- or if it's revealed that his political enemies were responsible for leaking the story. Carville mentioned other high-profile politicians who have weathered sex scandals, including Republican Sen. Larry Craig of Idaho, who pleaded guilty to a misdemeanor after his arrest in a men's room sex sting, and his own former client, President Clinton. ""All of us remember the Monica Lewinsky scandal and the immediate rush to judgment,"" he said. ""A lot of people said, 'How could Bill Clinton survive a scandal like that?' Yet, he managed to survive. ""If it's not a financial or monetary thing involved, I don't know."" Watch a discussion of Spitzer's political future » . On a more personal level, Dina Matos, the estranged wife of former New Jersey Gov. Jim McGreevey -- who resigned after an alleged affair with a male political aide -- said Spitzer should step down whether he thinks he can salvage his political career or not. McGreevey, who announced he is gay and is now attending an Episcopalian seminary, and Matos are in the midst of divorce proceedings. Matos said ""was very difficult for the family"" when her husband tried to hang on to the governor's office for several months after stories about the relationship with the aide surfaced. ""I thought Gov. Spitzer was going to announce his resignation today,"" Matos told CNN's ""Larry King Live."" ""By not doing so, he's only prolonging the pain and and anguish and humiliation for his wife and family."" Watch responses to the question: Will Spitzer have to resign? » . If Spitzer resigns, Lt. Gov. David Paterson would complete his term in accordance with the New York state constitution. Paterson, 53, is the highest-ranking African-American elected official in New York state. Paterson, who is legally blind, is a leading advocate for the visually and physically impaired. E-mail to a friend .","N. Y. governor, a hard-charging ex-prosecutor, falls far amid link to prostitution . ""There's no way he can survive"" scandal, GOP consultant and adviser says . Ex-Bill Clinton adviser: He has a chance if scandal's enemy-driven or only about sex . Estranged wife of ex-N. J. governor says Spitzer should resign to spare family grief ."
"Mormon leader Gordon B. Hinckley died Sunday night at age 97, the Church of Jesus Christ of Latter-day Saints announced. Gordon B. Hinckley, 97, president of the Church of Jesus Christ of Latter-day Saints, died Sunday. Hinckley had ""been in failing health for some time and his passing is due to age,"" said church spokesman Bruce Olsen. ""He was speaking in public as late as two to three weeks ago and had a full schedule in his office as late as last week."" Hinckley became president of the Salt Lake City-based church in 1995, at age 84, and had been a member of its top leadership since the 1960s. Mormon church presidents serve for life. The church has about 13 million members worldwide and has experienced 5 percent annual growth in recent years. He died about 7 p.m. Sunday with his family by his side, church officials said. ""His life was a true testament of service, and he had an abiding love for others,"" said U. S. Sen. Orrin Hatch, a Utah Republican and fellow Mormon. ""His wit, wisdom, and exemplary leadership will be missed by not only members of our faith, but by people of all faiths throughout the world."" Hinckley married Marjorie Pay at the Salt Lake City temple in 1937. They had five children, 25 grandchildren and 38 great-grandchildren. Marjorie Hinckley died in 2004. ""I've been blessed so abundantly that I can never get over it,"" Hinckley told CNN's Larry King in 2004. ""I just feel so richly blessed. I want to extend that to others, whenever I can."" Hinckley was the 15th president in the 177-year history of the Mormon church. President Bush awarded him a Presidential Medal of Freedom in 2004. Watch Hinckley receive medal, share his views » . According to a church statement, Hinckley was the most-traveled president in the church's history, visiting more than 60 countries. He also oversaw a massive temple-building program, doubling the number of temples worldwide to more than 100. Hinckley spent 70 years working in the church and is considered the architect of its vast public relations network. He worked to defuse controversies over polygamy and to promote full inclusion of nonwhites. Mormons believe the president of the church is a living prophet and apostle. They considered his words divinely inspired, including his views on homosexuality and the role of men and women in the home. ""We are not anti-gay. We are pro-family, let me put it that way,"" Hinckley told King in 2004. ""We love these people and try to work with them and help them. We know they have a problem. We want to help them solve that problem."" In an earlier interview with King, Hinckley laid out his views on family structure. ""Put father at the head of the house again,"" he said. ""A good father, who loves his wife and whose wife loves him, and whose children love him ... and let them grow together as good citizens of the land."" A church body known as the Quorum of the Twelve Apostles becomes its governing body upon the death of a president. It will choose a successor after Hinckley's funeral. No arrangements have been announced, Olsen said. E-mail to a friend . CNN's Matt Smith, Ed Payne and Ninette Sosa contributed to this story.",Hinckley was president of Church of Jesus Christ of Latter-day Saints since 1995 . The Church will choose a successor after Hinckley's funeral . Hinckley died at about 7 p.m. with his family by his side .
"Arizona Sen. John McCain, whose White House aspirations went into a nose dive last summer, clinched the Republican Party's presidential nomination Tuesday night with a sweep of GOP contests in four states. ""I am very, very grateful and pleased to note that tonight, my friends, we have won enough delegates to claim with confidence, humility and a great sense of responsibility, that I will be the Republican nominee for president of the United States,"" McCain told supporters in Texas. CNN estimates that McCain has amassed 1,195 delegates to the GOP's September convention in Minneapolis-St. Paul, Minnesota, four more than the 1,191 needed to claim the party's nomination. ""Now, we begin the most important part of our campaign: to make a respectful, determined and convincing case to the American people that our campaign and my election as president, given the alternative presented by our friends in the other party, is in the best interest in the country that we love,"" McCain said. ""The big battle's to come,"" he said. ""I do not underestimate the significance nor the size of the challenge."" Watch McCain address supporters after sweeping Tuesday's contests » . McCain's last leading rival, former Arkansas Gov. Mike Huckabee, bowed out of the race after his projected losses in Texas, Ohio, Rhode Island and Vermont and urged his supporters to back the Arizona senator in November. ""It's now important that we turn our attention not to what could have been or what we wanted to have been but now what must be, and that is a united party,"" Huckabee said. Watch as Huckabee ends his presidential bid » . Claiming the title of presumptive nominee will give McCain a head start on the general election campaign while Democratic contenders Hillary Clinton and Barack Obama are still locked in a battle for their party's title, said Alex Castellanos, a GOP strategist and CNN contributor. Allocate delegates yourself and see how the numbers add up » . ""Tomorrow, he can get started,"" Castellanos said. ""He'll have the [Republican National Committee] behind him. He'll have a broad base of financial support. It's a big step. Meanwhile, it looks like the Democrats are engaged in the land war across Russia, so he's got a big advantage now."" Both Clinton, the New York senator and former first lady, and Obama, the first-term senator from Illinois, called McCain on Tuesday night, campaign officials said. Obama told McCain he looks forward to running against him in the fall, campaign spokeswoman Jennifer Psaki said. McCain is slated to go to the White House on Wednesday to receive the endorsement of President Bush, according to two Republican sources. The Arizona senator's campaign -- his second run for the White House -- was largely written off last summer amid outspoken opposition from the party's conservative base, a major staff shakeup and disappointing fundraising. But the former Navy pilot and Vietnam prisoner of war rebounded with wins in January's primaries in New Hampshire and South Carolina, the state where his first presidential bid foundered. ""There were times, obviously, when my political campaign was not viewed as the most viable in America, as you probably know,"" he told reporters in San Antonio earlier Tuesday. ""In fact, I was reminded of the words of Chairman Mao, who said it's always darkest before it's totally black."" McCain's fortunes also rebounded as U. S. commanders in Iraq credited the 2007 launch of a campaign to pacify Baghdad and its surrounding provinces with a sharp decline in American and Iraqi casualties. The senator had been one of the most outspoken advocates of the shift and has blasted his potential Democratic rivals for calling for the withdrawal of U. S. combat troops from the widely unpopular war. ""This is a man with a lot of trials in his life,"" said former Education Secretary William Bennett, a CNN contributor. ""He's had a lot of downs; he's been up, and this is a big up."" McCain has been turning his fire on the Democrats, for whom Tuesday's races in Ohio and Texas are seen as pivotal. See scenes from Tuesday's voting » . But Democrats have been pounding McCain over his January comment that he would be satisfied if U. S. troops remained in Iraq for 100 years, as long as the insurgency there died down. And Democratic National Committee Chairman Howard Dean has attacked his reputation as a reformer over the past week, accusing McCain of trying to evade federal spending limits by opting out of public financing after using the promise of federal funds to obtain a bank loan and automatic ballot access for his primary campaign. Dean told CNN on Tuesday that McCain ""really is the focus of what we're doing now, in terms of his ethics problems and his problems with the war and his problems with the huge deficits that they've run up on the Republican side."" In 2000, McCain upset then-Texas Gov. George W. Bush in the New Hampshire primary by touting ""straight talk"" and his record as a Republican maverick. Bush came back in South Carolina amid a divisive and bitter campaign that left McCain denouncing leaders of the party's religious conservative wing as ""agents of intolerance,"" and Bush went on to win the presidency. Since then, McCain has enraged conservative leaders by opposing Bush's signature tax cuts, co-sponsoring the campaign finance reform law that now bears his name and supporting a controversial White House-backed plan to offer a path to citizenship for illegal immigrants. But their support was spread among a fractured GOP field, and their main standard-bearer, former Massachusetts Gov. Mitt Romney, quit the race after a disappointing showing in February's Super Tuesday primaries. Exit polls in Texas and Ohio found that about three-quarters of Republicans would be satisfied with McCain as their nominee, however. Those surveys found that the economy was the top issue for GOP voters in both states -- and by a wide margin in Ohio, which has seen a sharp decline in manufacturing jobs in the past decade. Although national security issues are a strong suit for McCain, Castellanos said he might need some help if a weakening economy is the central issue in November. ""It's never been Sen. McCain's strength,"" Castellanos said. He said McCain would need to make the case that ""I'm going to grow this economy; Barack or Hillary, they're going to grow government."" McCain had amassed 1,047 delegates before Tuesday, according to CNN estimates. At stake in Tuesday's contests were 256 delegates, allocated on a winner-take-all basis by statewide or congressional district results. E-mail to a friend . CNN correspondent Dana Bash and political editor Mark Preston contributed to this report.","CNN projects McCain wins Ohio, Texas, Rhode Island and Vermont . Huckabee withdraws from race for GOP nomination . CNN: McCain had amassed 1,047 delegates before Tuesday . McCain campaign was largely written off last summer ."
